INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
III.2.4;Sammlung lose Blätter;England 1897;Th S;;London;1886, 1897;;"59 Notizen und Skizzen : (in 9 Umschlägen mit div. Aufschriften), 1 Foto (stereo; London), 2 Abbildungen, 1 Zeitungsausschnitt, 3 Briefe (Statham - The Builder 1886), 1 Rechnung (The Builder 1886), 1 Buchprospekt, 1 Hotelprospekt, 1 Broschüre, 6 Lesescheine";;;76;;;;;
III.2.5;Sammlung lose Blätter;Photographie;T Th S;;Florenz, Lucca;1890;XXX;"77 Notizen und Skizzen (Thesaurus?), 56 Fotos (davon 16 Negative; Florenz; Lucca; Familie Geymüller)";;;136;;;;;
III.2.6.a;Sammlung lose Blätter;"o. Aufschrift; Bibliographie A";T;;;1896, 1897;XXX;"34 Notizen, 7 Zeitungsausschnitte, 2 Briefe (Postkarten Müntz 1896 1897), 3 Buchprospekte (""Seeber Firenze"" - Vermerk zu Reproduktionstechiken Thesaurus)";;;46;;;;;
III.2.6.b;Sammlung lose Blätter;"o . Aufschrift; Materialien";T;;;;XXX;9 Fotos (Villa Salvati);;;9;;;;;
III.2.6.c;Sammlung lose Blätter;"o. Aufschrift; Settignano ";T;;;;XXX;1 Notiz und Skizze, 6 Fotos;;;8;;;;;
III.2.6.d;Sammlung lose Blätter;"o . Aufschrift; Torre del Gallo";T;;;;XXX;1 Skizze, 4 Fotos;;;4;;;;;
III.2.6.e;Sammlung lose Blätter;"o. Aufschriften; Settignano";T;;;;XXX;6 Skizzen, 9 Fotos;;;15;;;;;
III.2.6.f;Sammlung lose Blätter;"o. Aufschrift; Villa Bombicci";T;;;;XXX;16 Fotos;;;16;;;;;
III.2.6.g;Sammlung lose Blätter;"o . Aufschrift; Boboli";T;;;;XXX;10 Fotos;;;10;;;;;
III.2.6.h;Sammlung lose Blätter;"o. Aufschrift; S. Casciano";T;;;;XXX;6 Skizzen;;;6;;;;;
III.2.6.i;Sammlung lose Blätter;"o . Aufschrift; Figline";T;;;;XXX;"2 Skizzen, 1 Brief (Magherini Graziani; undatiert)";;;3;;;;;
III.2.6.j;Sammlung lose Blätter;"o . Aufschrift; Verschiedenes um Florenz";T;;;;XXX;2 Fotos;;;2;;;;;
III.2.6.k;Sammlung lose Blätter;"o. Aufschrift; Villen bei Florenz";T;;;1888;XXX;34 Notizen und Skizzen;;;34;;;;;
III.2.6.l;Sammlung lose Blätter;"o. Aufschrift; Florenz";T;;;;XXX;2 Notizen und Skizzen;;;2;;;;;
III.2.6.m;Sammlung lose Blätter;"o. Aufschrift; Städte";T;;;;XXX;41 Notizen;;;41;;;;;
III.2.6.n;Sammlung lose Blätter;"o. Aufschrift; Meister nicht berücksichtigt";T;;;;XXX;27 Notizen;;;27;;;;;
III.2.6.o;Sammlung lose Blätter;"o. Aufschrift; Furtwangler";T;;;;XXX;1 Zeitungsausschnitt (Chronique);;;1;;;;;
III.2.7.a;Sammlung lose Blätter;"o. Aufschrift; Gothik u. Romanisch";T;;Firenze;;XXX;"119 Notizen und Skizzen (z.T. auch Zeichnungen; San Miniato al Monte; Gespräch mit Dr. Davidson), 1 Zeitungsausschnitt (Chronique), 1 Broschüre";;;121;;;;;
III.2.7.b;Sammlung lose Blätter;"o. Aufschrift; Vorbilder";T;;;1890;;24 Notizen und Skizzen, 1 Zeitungsausschnitt (1890);;;25;;;;;
III.2.7.c;Sammlung lose Blätter;"o. Aufschrift; Villen I";T;;;;;14 Notizen;;;14;;;;;
III.2.7.d;Sammlung lose Blätter;"o. Aufschrift; Villen II";T;;;;XXX;"11 Notizen und Skizzen, 54 Fotos (davon 4 Negative; San Gimignano): (in 8 Umschlägen)";;;65;;;;;
III.2.7.e;Sammlung lose Blätter;"o. Aufschrift; o.Aufschrift";T;;;;;88 Notizen und Skizzen (in 8 Umschlägen);;;88;;;;;
III.2.8;Sammlung lose Blätter;o . Aufschrift;T;;;1887, 1889, 1890, 1901;XXX;"303 Notizen und Skizzen, 5 Zeitungsausschnitte, 7 Briefe (1 Ettal; 1 Lardy 1889; 1 Hotel; 1 Pietro della Vigna 1890; A. Tarchi? 1898), 1 Postkarte ""Seeber"" 1889, 2 Telegramme, 8 Hotelrechnungen (1 Grand Hotel Restaurante Cavour Neapoli; 1 Hotel Schmid Milano; 1 Hotel de France; u.a.), 17 Visitenkarten, 1 Fahrplan (Tram Florenz): (in 30 Umschlägen)";;;341;;;;;
III.2.9;Sammlung lose Blätter;o . Aufschrift;T;;Cherteau ;1885, 1893, 1905, 1908;XXX;"120 Notizen und Skizzen, 7 Fotos, 4 Abbildungen (Cherteau), 4 Zeitungsausschitte, 2 Briefe (Max Alioth II 1908; Bluntschli 1885), 1 Visitenkarte (Geymüller), 2 Prospekte (Toscanawerk 1893), 7 Lieferbestätigungen (u.a. Abbildungsplan Toscanawerk): (in 11 Umschläge)";;"Max Alioth: Architekt und bekannter Briefpartner von Jakob Burkhardt; Publiziert unter ""Briefe an einen Architekten""";146;;;;;
III.2.10;Sammlung lose Blätter, Manuskript;o . Aufschrift;T Mich;;Poppi, Arezzo;1891, 1899;XXX;"337 Notizen und Skizzen, 1 Manuskript (Michaelangelo?; 56 Blätter), 7 Zeichnungen, 14 Fotos (Poppi; Portraits: unbekannt), 7 Zeitungsausschnitte, 3 Briefe (1 Postkarte Rahn 1899; 1 Carotti 1891; 1 Baxter 1899), 1 Rechnung (Grande Albergo e Ristorante), 1 Namensliste (Empfänger Sonderdruck) 1 Visitenkarte (Kirpitchnikoff ?): (in 21 Umschläge mit Einzelblätter)";;Rahn: Schweizer Denkmalpfleger, Sonderdruck für Publikation (in Pub. 148);371;;;;;
III.2.11;Sammlung lose Blätter;o. Aufschrift;T (?);;;;;194 Notizen und Skizzen, 1 Zeitungsausschnitt, 1 Prospekt;;;196;;;;;
III.2.12;Sammlung lose Blätter;o . Aufschrift (Leo X.);SP;;;;;203 Notizen (Exzerpte) (Fabbrica di S. Pietro): (in 8 Umschläge);;;203;;;;;
III.2.13;Sammlung lose Blätter;"Bramante Bibliographie (beg. 19.III.1913; H. Egger)";B;;;1913;;"143 Blätter Literaturangaben (alphabetisch), 5 Blätter (maschinell; Bibliografie nach Themen; mit Marginalien; Werksverzeichnis): (1 Umschlag; Beschriftung Egger)";;;148;;;;;
III.3.1;Sammlung lose Blätter;Allgemein. Ital. Einfluss;Rf;;;;;154 Notizen und Skizzen, 4 Zeitungsausschnitte;;;158;;;;;
III.3.2;Sammlung lose Blätter;I Allgemein ;T;;;1887;;"126 Notizen und Skizzen, 1 Zeitungsausschnitt, 1 Brief (G. Rohaulth de Fleury 1887; betreffend Bruneleschi)";;;128;;;;;
III.3.3;Sammlung lose Blätter;Vatikan Nikolaus III Lib. Cens.;SP;;;;;334 Notizen (Exzerpte): (in 33 Umschlägen);;;334;;;;;
III.3.4;Sammlung lose Blätter;Archivio della Fabbrica di S. Pietro 1544-1546;SP;;;;;120 Notizen (Exzerpte);;;120;;;;;
III.3.5;Sammlung lose Blätter;o . Aufschrift;T;;;1889, 1902;;"360 Notizen und Skizzen, 1 Zeichnung, 15 Fotos, 27 Abbildungen (22 Ansichtskarten; 5 Andrucke), 4 Zeitungsaussschnitte, 4 Korrekturfahnen, 2 Briefe (1 Postkarte W. C. 1889, 1 Postkarte ? 1902)";;;413;;;;;
III.3.6;Sammlung lose Blätter;Florenz, Pal Vecchio;T;;;;XXX;94 Notizen und Skizzen, 4 Zeichnungen;;;98;;;;;
III.3.7;Sammlung lose Blätter;Bramante;B;;;1891;XXX;"62 Notizen und Skizzen, 5 Zeichnungen (1 Transparentpapier; Palazzo di San Biagio), 2 Zeitungsausschnitte, 1 Brief (Postkarte Müntz 1891), 1 Buchprospekt, 1 Benutzerschein (Venedig 1908): (in 12 Umschlägen mit Einzelblättern)";;Transparentzeichnung entnommen!;72;;;;;
III.3.8;Sammlung lose Blätter;Monographie Michaelangelos;Mich;;;;;237 Notizen (Manuskript für Sonderband Toscanawerk): (in 10 Umschlägen mit Einzelblättern);;Sonderband Toskanawerk: in Grazer Kunstgeschichte Bibliothek vorhanden;273;;;;;
III.3.9;Sammlung lose Blätter;Giuliano da Sangallo;T;;;;;36 Notizen und Skizzen, 7 Textbögen (Toscanawerk), 6 Korrekturbögen (Toscanawerk);;;49;;;;;
III3.10;Sammlung lose Blätter;Toscana. Gebäudeteile;T;;;;;98 Manuskript (maschinell);;;98;;;;;
III.3.11;Sammlung lose Blätter;Allgemein. Rossellino. Vasari. Ammanati usw.;T;;;;;220 Notizen, 1 Abbildung, 5 Korrekturfahnen: (in 5 Umschlägen);;;226;;;;;
III.3.12;Sammlung lose Blätter;"o. Aufschrift (G. da Majano; Ammanati; Vasari)";T;;;;;"99 Notizen und Skizzen, 1 Manuskript (maschinell; 199 Seiten), 5 Korrekturbögen: (in 6 Umschlägen)";;;105;;;;;
III.3.13;Sammlung lose Blätter;"o. Auufschrift (G. Vasari;B. Ammanati)";T;;;;XXX;"204 Notizen und Skizzen, 1 Manuskript (maschinell; 27 Seiten), 44 Korrekturfahnen (4x11), 8 Layoutblätter (Vasari, Ammalati)";;;249;;;;;
III.4.1;Sammlung lose Blätter;Pausen;T;;;;XXX;"36 Zeichnungen auf Transparentpapier (Villen Toscana; ""Villen und Städte auf Berglinien"")";;Zeichnungen auf Transparent identisch mit Skizzenbuch V.4.1;36;;;;;
III.4.2;Sammlung lose Blätter;V (Toscanawerk);T;;;;XXX;142 Notizen und Skizzen, 2 Zeichnungen (Malerei), 8 Abbildungen, 1 Zeitungsauschnitt: (in 15 Umschlägen);;;152;;;;;
III.4.3;Sammlung lose Blätter;III Kirchen (Toscana);T;;;;;"126 Notizen und Skizzen, 1 Zeichnung, 8 Fotos (S. Maria degli Angeli; im Grundriss): (in 9 Umschlägen)";;;135;;;;;
III.4.4;Sammlung lose Blätter;IV Kirchen (Toscana);T;;;1888, 1901;XXX;"128 Notizen und Skizzen, 3 Zeichnungen auf Transparentpapier, 7 abbildungen (Andrucke für Toscanawerk, S. Lorenzo; transparent), 2 Zeitungsausschnitte: (in 9 Umschlägen; Brunelleschi)";;;140;;;;;
III.4.5;Sammlung lose Blätter;o. Aufschrift (Toscanawerk);T;;;1903;XXX;"130 Notizen und Skizzen, 1 Foto, 1 Ansichtskarte, 3 Zeitungsausschnitte, 2 Briefe (A. Kurr 1903; 1 Postkarte Müntz?), Visitenkarten (A. Klein), 1 Broschüre (S. Maria del Sasso), 1 Prospekt";;;139;;;;;
III.4.6;Sammlung lose Blätter;o. Aufschrift (Toscanawerk);T;;;1893, 1898;XXX;"381 Notizen und Skizzen (Exzerpte), 3 Zeitungsausschnitte (La Nazione 1898), 7 Briefe (1 Brockhaus 1898; 1 Edmond de Bassiere 1893; 1 [?] Bassiere 1890; 1 Stegmann 1893; Palazzo u. Villa Antinori; 1 Giovanni Sforza 1898; 1 Postkarte?; 1 Marchese Pietro Torrigiani [Bürgermeister von Florenz] 1898), 2 Broschüren (1 Il Giuoco del Calcio 18.04.1898 ""Pietro Gori""), 6 Einladungen (Einladung vom Bürgermeister von Florenz 28.04.1898), 5 Visitenkarten, 2 Empfangsbestätigungen: (in 10 Umschläge)";;"Materialien zum Beruf des Architekten; Bauorganisation";406;;;;;
III.4.7;Sammlung lose Blätter;Paläste;T;;;;XXX;127 Notizen und Skizzen, 8 Ansichtskarten (u.a. Siena, Castello di Quattro Torri): (in 13 Umschlägen);;;135;;;;;
III.4.8;Sammlung lose Blätter;"Ficker; Codex Escurialensis";S;;;1896, 1889, 1892;XXX;"21 Notizen und Skizzen, 2 Briefe (1 J. Ficker 1889; 1 Christian Huelsen 1892): (in 2 Umschlägen mit Einzelblättern; Codex Escurialensis)";;Huelsen: bedeutender Archäologe;23;;;;;
III.4.9;Sammlung lose Blätter;o . Aufschrift;T S;;;1890, 1895;XXX;"131 Notizen und Skizzen (aus Andrea Pozzo), 3 Zeichnungen (Transparentpapier), 3 Fotos, 5 Zeitungsausschnitte, 20 Briefe (11 + 1 Postkarte Hermann Scholz 1895; 1 Seeber 1895; 1 Bode 1890; 2 Bruckmann; 1 Postkarte Gustavo Frizzoni 1890; 2 Uzielli 1892 1893), 2 Prospekte + 6 Broschüren (Gobineau ""Von der Ungleichheit der Menschenrassen""), 1 Visitenkarte (Nerino Ferri): (in 13 Umschlägen mit Namen: Pozzo; Laurana; Locomotive; Guarini; Gobineau; Fra Giacondo; Choisy)";;Choisy: französischer Architekturhistoriker ;171;;;;;
III.4.10.a;Sammlung lose Blätter;"o. Aufschrift (Leo X.); o. Aufschrift";SP;;;1883;;50 Notizen (Exzerpte), 1 Zeitungsausschnitt (Chronique 1908), 1 Arte e Storia 1883 (Castel del Monte), 30 Ausschnitte aus Druckseiten: (in 6 Umschlägen);;;82;;;;;
III.4.10.b;Sammlung lose Blätter;"o. Aufschrift (Leo X.); St. Pierre; Leo X.";SP;;;;;82 Notizen und Skizzen, 13 Zeichnungen, 11 Anischtskarten, 3 Zeitungsausschnitte, 1 Abschirft Gutachten Laparellis 1565 (die Kuppel betreffend): (in 20 Umschlägen);;;102;;;;;
III.4.10.c;Sammlung lose Blätter;"o. Aufschrift (Leo X.); (div. Paläste: Hadria VI.; Gregor XIII.; Pius II.; Jul.II.)";SP;;;;;102 Exzerpte S. Pietro: (in 10 Umschlägen);;;58;;;;;
III.4.10.d;Sammlung lose Blätter;"o. Aufschrift (Leo X.); Archivio della Fabbrica... Il libro rosso";SP;;;;;58 Exzerpte;;;;;;;;
III.5.1;Sammlung lose Blätter;o . Aufschrift;T HK S;;;1877, 1891, 1903, 1908;XXX;"38 Notizen und Skizzen (u.a. Prinzipien der Restauration), 2 Abschriften (aus 2 Artikel: La Nazione Terremoti di Firenze 1895; L. del Moro; G. Uzielli), 2 Fotos (Besacon), 11 Zeitungsausschnitte (Kunstchronik 1891/92 M. H.; Chronique 1894; Allgemeine Schweizer Zeitung 1894; The Builder 1897; 1 Badeblatt 1906 + Korrekturfahne Geymüller 1877; 1 Der Tag 1906; Straßburger Post 1903; 2 Schlettstadt Tagblatt 1903), 7 Briefe (1 ? 1897; 1 Postkarte Rahn 1901; 3 Postkarten Alinari 1908; 2 J. Comte [Revue de l'Art] 1908), 7 Korrekturbögen (Entwürfe 1877), 1 Broschüre (Conservation of ancient monument; RIBA Kalender 1901/02), 2 Posteinlieferungsscheine (1 Roger Marse Paris 25.06.1908), 4 Visitenkarten (Bodo Ebhardt; Elfriede Ebhardt; Schessner [Regierungsbaumeister]): (in 7 Umschläge mit Einzelblättern)";;;72;;;;;
III.5.2;Sammlung lose Blätter;o . Aufschrift;T Th S;;;1901, 1904, u.a.;XXX;"64 Notizen und Skizzen, 10 Zeichnungen (Transparentpapier), 1 Abschrift (Bode über Burckhardt aus Pan 1898), 3 Mitschften (Vortrag Conti - Palazzo Pitti), 29 Fotos (Rubens?), 1 Heliogravüre, 1 Abbildung (Grosshezig von Baden), 32 Zeitungen + Ausschnitte (u.a. 2 Gazette de Lausanne <Geymüller>; 1 Nazione, 1 La Letteratura <Hohkönigsburg> 1904; 2 La Tour du Mont; 4 Allgemeine Schweizer Zeitung 1896 1899 1901; 1 Badener Tageblatt 1901; 1 L'Eclair 1902; 4 Chronique 1899 1900 1907; 3 RIBA Kalendar; 5 Beilage zur allgemeinen Zeitung 2x 1902; 2x 1903; 1907; Arte e Storia 1889; Figaro 1902; Journal de Geneve 1902; Le Temps 1902), 9 Briefe (1 Pags 1901; 1 Eggimann 1901; 1 C. Wild; 1Gustavo Uzielli 1893; 1 Telegramm Delaborde; 1 Gustav Alioth; 1 Frachtbrief) 3 Postkarten (?; 1 Gustavo Frizzoni - Milano 1893, Donato Lucciola 1903), 7 Prospekte (4 Thesaurus; Semper; Malaguzzi-Valeri; 1 Programm American Architects), 2 Rechnungen (Seeber; Wild)";;;159;;;;;
III.5.3.a;Sammlung lose Blätter;"o . Aufschrift; Toscanaprogramm";T;;;;;19 Notizen;;;19;;;;;
III.5.3.b;Sammlung lose Blätter;"o . Aufschrift; Palais de Justice Bruxelles";S;;;1886;XXX;37 Notizen und Skizzen (einige Zeichnungen);;;37;;;;;
III.5.3.c;Sammlung lose Blätter;"o . Aufschrift; Gazette de Lausanne";Hk (?);;;1901;;"10 Notizen und Skizzen, 2 Gazette de Lausanne (Geymüller) 1901, 2 Briefe (1 Ed. ? - Conseil National Schweiz 1901; 1 Postkarte Gazette Lausanne 1901)";;;14;;;;;
II.5.3.d;Sammlung lose Blätter;"o . Aufschrift; Zeitungsartikel";S;;;1901, 1905;;"12 Zeitungen bzw. Ausschnitte (Straßburger Post; usw. 1901; 1905)";;;12;;;;;
III.5.3.e;Sammlung lose Blätter;"o . Aufschrift; Milano";S;;;1906;;2 Zeitungsausschnitte, 3 Programme und Tafel für Ausstellung Milano;;;5;;;;;
III.5.3.f;Sammlung lose Blätter;"o . Aufschrift; Toscana. Stand der Arbeiten";T;;;;;6 Notizen;;;6;;;;;
III.5.3.g;Sammlung lose Blätter;"o. Aufschrift; Proportions...";S;;;;;1 Skizze, 2 Fotos, 1 Stich;;;4;;;;;
III.5.4;Sammlung lose Blätter, Notizbuch;Concorso di S. Lorenzo;S;;;;XXX;"41 Notizen und Skizzen, 1 Notizbuch (18 Seiten mit Notizen und Skizzen), 25 Zeitungsausschnitte (z.T. doppelt), 3 Briefentwürfe (6 Seiten; 4 Seiten; 1 Telegrammentwurf), 10 Briefe (1 Karte Spighi 1905; 1 <?> 1905, 7 Tomaso Corsini 1899 1900 2x 1901 2x 1905; 1 Telegramm 1901; 1 - Accademia di San Luca 1901), 1 Heft (Catalogo 15 Seiten), 1 Einladung, 3 Visitenkarten (Marchese Pietro Torrigiani, Dante Sodini, Paolo Zampi) ";;Wettbewerb San Lorenzo Firenze;85;;;;;
III.5.5;Sammlung lose Blätter;o . Aufschrift;S;;;1893;;"6 Zeitungsausschnitte (u.a. The Builder <Pienza>; 1 RIBA-Journal 1893 <Rez. Gexmüller>), 1 Brief (Vera Kros?), 4 Prospekte (Thesaurus), 1 Prospekt (Fliesen)";;;14;;;;;
III.6.1.a;Sammlung lose Blätter;"o . Aufschrift; Raffael Architekt (Pausen)";Raf;;;1882;;30 Zeichnungen (Transparentpapier), 1 Foto, 1 Buchausschnitt;;;32;;;;;
III.6.1.b;Sammlung lose Blätter;"o . Aufschrift; Peruzzi";Raf S;;;1877, 1889;;"1 Notiz, 3 Zeichnungen, 2 Briefe (1 Müntz 1877; 1 Biblioteca Communale Siena 1889)";;;6;;;;;
III.6.1.c;Sammlung lose Blätter;"o . Aufschrift; Michel-Angolo Buonarotti";Mich;;;1879, 1880;;"100 Notizen und Skizzen, 2 Zeichnungen, 3 Fotos, 5 Briefe (2 Dujardin 1879; 1 Emile Delacroix 1879, 1 Cockwell, 1 Gulialmotte 1880)";;;110;;;;;
III.6.1.d;Sammlung lose Blätter;"o . Aufschrift; 1417-1421 (derniere boite)";S (?);;;;;6 Notizen;;;6;;;;;
III.6.2;Sammlung lose Blätter;o . Aufschrift;SP;;;1877;;"98 Notizen und Skizzen, 4 Zeitungsausschnitte, 2 Exemplare ""Baugeschichte St Peter"" 1877, 3 Briefe (? 1877; 1 Bertolotti 187?; <Fontana>; 1 Souvrintendenza)";;;107;;;;;
III.6.3.a;Sammlung lose Blätter;"o . Aufschrift; Grabmal Lorenzo's il Magnifico";T (?);;;;;9 Notizen;;;9;;;;;
III.6.3.b;Sammlung lose Blätter;"o . Aufschrift; Römische Barockkirchen. Pausen";S;;;;;18 Zeichnungen (Transparentpapier);;;18;;;;;
III.6.3.c;Sammlung lose Blätter;"o . Aufschrift; Succeccive Ideas for ... (Thesaurus)";Th;;;1893;;"1 Notiz, 1 Typ., 5 Briefe (4 Durjardin 1893; 1 White 1893)";;;13;;;;;
III.6.3.d;Sammlung lose Blätter;"o . Aufschrift; Marcel Raymond";T;;;1903, 1906, 1909;;"37 Notizen, 5 Zeitungsausschnitte (1906; 1 Aitchinson; 6 Blätter; 1 Il nuovo Giornale 1906; 1 Giornale d'Italia 1906; 2 Fiera mosca 1906), 22 Briefe (14 + 7 Postkarten Bruckmann 1903; 1 Hallmann 1909 <Toscana>), 3 Prospekte";;;67;;;;;
III.6.3.e;Sammlung lose Blätter;"o . Aufschrift; Michaelangelo. S. Lorenzo";Mich;;;1901, 1902;;"3 Zeichnungen, 1 Foto, 6 Abbildungen, 1 Illustrazione Italiana 1907 <Michaelangelo>, 3 Briefe (2 Ferri 1902; 1 Hallmann 1901)";;;14;;;;;
III.6.3.f;Sammlung lose Blätter;"o . Aufschrift; o. Aufschrift";L;;;;;4 Notizen und Skizzen (Leonardo);;;4;;;;;
III.6.3.g;Sammlung lose Blätter;"o . Aufschrift; Frau Giacondo (Edifici circolari)";S;;;1890;;12 Zeichnungen (Frau Giacondo), 1 Brief (La Roche 1890);;;13;;;;;
III.6.3.h;Sammlung lose Blätter;"o . Aufschrift; Antonio Card. Carafa Bibliothecarij";SP;;;;;34 Abschriften (Fabbrica di S.Pietro);;;34;;;;;
III.6.3.i;Sammlung lose Blätter;"o . Aufschrift; Zeichnungen von Ignoti";S;;;;;"5 Zeichnungen (1 Transparentpapier; 4 Pausen), 8 Fotos (Michaelangelo; Terme Diocleziane), 1 Lichtdruck";;;14;;;;;
III.6.4.a;Sammlung lose Blätter;"o . Aufschrift; England";S (?) B (?);;;;;22 Notizen und Skizzen, 4 Zeichnungen, 3 Zeitungsausschnitte;;;29;;;;;
III.6.4.b;Sammlung lose Blätter;"o . Aufschrift; Pausen u. Skizzen ital. Kirchen";S (?);;;;;9 Zeichnungen (z.T. auf Transparentpapier);;;9;;;;;
III.6.4.c;Sammlung lose Blätter;"o . Aufschrift; Bramante in Rom";B;;;1902;;57 Notizen und Skizzen, 8 Zeitungsausschnitte, 1 Brief (Durm 1902);;;66;;;;;
III.6.4.d;Sammlung lose Blätter;"o . Aufschrift; Charles Blanc. Michaelangelo Buonarotti";Mich;;;;;"11 Bögen (96 Seiten ungebunden; Charles Blanc; Michaelangelo; [Historie des peintres])";;;11;;;;;
III.6.4.e;Typ;"o . Aufschrift; o. Aufschrift";SP Typ;;;1904;;"2 Napoli Nobilissima (1904; Alberti; offener Brief an B. Croce; W. Rolfs; Alberti), 1 Zeitschriftenartikel (Zeitschrift für Bildende Kunst 1878 ""Zur Baugeschichte von St. Peter""), 1 Prospekt Thesaurus";;;4;;;;;
III.6.4.f;Sammlung lose Blätter;"o. Aufschrift; Bramante. Scritti";B;;;1878, 1879;;"16 Notizen, 14 Exzerpte, 6 Briefe (1 Govi 1878; 1 Sacconi Biblioteca Nazionale; 1 Luigi Paster? Biblioteca Nazionale 1876; 1 Müntz 1879; 1 Karte Pini 1878; 1 Guasti 1878)";;;36;;;;;
III.6.4.g;Sammlung lose Blätter;"o . Aufschrift; Bramante. Rom";B;;;1877, 1879;;"29 Notizen und Skizzen, 5 Zeichnungen, 1 Foto, 2 Briefe (1 Brat? 1877; 1Delabord 1879)";;;37;;;;;
III.6.5.a;Sammlung lose Blätter;"o. Aufschrift; Donatello";T;;;;;10 Notizen und Skizzen, 1 Foto, 1 Abbildung (Donatello);;;12;;;;;
III.6.5.b;Sammlung lose Blätter;"o . Aufschrift; o. Aufschrift";T S;;;;;25 Notizen und Skizzen (Francesco di Giorgio), 9 Zeichnungen (z.T: auf Transparenzpapier), 2 Ausschreibungen (S. Lorenzo), 1 Prospekt;;;37;;;;;
III.6.5.c;Fotografien;"o. Aufschrift; Federighi (Loggia di S. Paolo)";T (?);;;;;5 Fotos;;;5;;;;;
III.6.5.d;Sammlung lose Blätter;"o. Aufschrift; Civitati";T (?);;;;;1 Foto, 1 Abbildung (Toscana);;;2;;;;;
III.6.5.e;Sammlung lose Blätter;"o. Aufschrift; Brunellesco";T;;;1884, 1885;;5 Notizen, 4 Abschriften, 2 Abbildungen, 5 Briefe (Widmann 2x 1884 2x 1885);;;16;;;;;
III:6.5.f;Sammlung lose Blätter;"o. Aufschrift; Buggiano";T;;;;;2 Fotos, 1 Abbildung (Buggiano);;;3;;;;;
III.6.5.g;Sammlung lose Blätter;"o. Aufschrift; Bibliographie";T (?);;;1884;;30 Notizen und Skizzen, 1 Zeitungsausschnitt, 1 Bulletin de la Societé l'historie..., 3 Briefe (2 +1 Karte Meyer 1884), 6 Prospekte, 1 Zahlungsbestätigung: (in 7 Umschlägen);;;42;;;;;
III.6.6.a;?;"Thesaurus (Italia); Regesten u. Briefe des Card. Contarini 1483-1542";Th;;;;;ungebundenes Exemplar (62 Seiten);;;1;;;;;
III.6.6.b;Sammlung lose Blätter;"Thesaurus (Italia); Sammlung Frizzoni";Th (?);;;;;5 Notizen und Skizzen;;;5;;;;;
III.6.6.c;Sammlung lose Blätter;"Thesaurus (Italia); Siena";Th;;;;;10 Notizen;;;10;;;;;
III.6.6.d;Sammlung lose Blätter;"Thesaurus (Italia); Pisa";Th;;;1877;;1 Brief (Ferrucci 1877);;;1;;;;;
III.6.6.e;Sammlung lose Blätter;"Thesaurus (Italia); Uffizzi";Th;;;1882;;45 Notizen und Skizzen (Peruzzi, Sangallo), 4 Fotos, 1 Brief (Picini 1882): (in 5 Umschlägen);;;50;;;;;
III.6.6.f;Sammlung lose Blätter;"Thesaurus (Italia); Firenze. Laurenziana";Th;;;;;1 Notiz;;;1;;;;;
III.6.6.g;Sammlung lose Blätter;"Thesaurus (Italia); Disegni di Figure (Firenze Uffizi)";Th;;;;;3 Notizen;;;3;;;;;
III.6.6.h;Sammlung lose Blätter;"Thesaurus (Italia); Archivio di Stato (Milano)";Th;;;;;3 Notizen, 2 Fotos;;;5;;;;;
III.6.6.i;Sammlung lose Blätter;"Thesaurus (Italia); Disegni Venezia (Accademia)";Th;;;;;13 Notizen und Skizzen, 1 Brief (Frizzoni);;;14;;;;;
III.6.6.j;Sammlung lose Blätter;"Thesaurus (Italia); Torino";Th;;;;;16 Notizen und Skizzen;;;16;;;;;
III.6.6.k;Sammlung lose Blätter;"Thesaurus (Italia); Venezia. Marciana";Th;;;;;6 Notizen und Skizzen;;;6;;;;;
III.6.6.l;Sammlung lose Blätter;"Thesaurus (Italia); Venezia. Museo. Civico";Th;;;;;2 Notizen und Skizzen;;;2;;;;;
III.6.7;Sammlung lose Blätter;Raffaello im allgem.;Raf;;;1875, 1880, 1883, 1903;;"143 Notizen und Skizzen, 13 Fotos, 1 Abbildung, 16 Briefe (1 Federici [Archivio Paleografico Italiano] 1908; 3 Cohen 1903; 4 G. Karo 1903; 2 + 2 Postkarten Gallo 1883; 1 Delaborde 1880; 1 ... ? <London> 1875; 1 Karte Ferri; 1 Müntz 1880)";;;173;;;;;
IV.1.1.a;Sammlung lose Blätter;"o . Aufschrift; o. Aufschrift";SP;;;;;"8 Korrekturbögen (St. Peter; Entwürfe)";;;8;;;;;
IV.1.1.b;Sammlung lose Blätter;"o . Aufschrift; o. Aufschrift";SP (?);;;1890, 1891;;6 Notizen (Bramante), 2 Typ, 5 Briefe (White 1890 1891);;;13;;;;;
IV.1.1.c;Sammlung lose Blätter;"o . Aufschrift; Paul III. Architects (Copie)";SP;;;;;34 Abschriften;;;34;;;;;
IV.1.1.d;Sammlung lose Blätter;"o . Aufschrift; Paul III. Architects (Copie)";SP;;;;;17 Abschriften;;;17;;;;;
IV.1.1.e;Sammlung lose Blätter;"o . Aufschrift; Paul III. Architects (Copie)";SP;;;;;34 Abschriften;;;34;;;;;
IV.1.1.f;Sammlung lose Blätter;"o . Aufschrift; Paul III. Architects (Copie)";SP;;;;;8 Abschriften;;;8;;;;;
